代码	名称			板块	上市日		一手资金	一手中签率	发行价	超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘
02013	微盟集团		主板	2019/01/15	3500		100.00%		2.800	0.79		8.4			14.29%		4.64%		3.100	3.420	2.830	2.930
06162	天瑞汽车内饰	主板	2019/01/15	2480		25.00%		0.250	7.15		1.25		2.00%		-0.80%		0.250	0.265	0.225	0.248
01767	TS WONDERS		主板	2019/01/14	5500		15.00%		0.500	16.88		1.25		22.00%		26.00%		0.630	0.670	0.560	0.630
02885	彼岸控股		主板	2019/01/11	3100		50.05%		1.250	6.13		1.25		1.60%		-25.60%		1.110	1.200	0.900	0.930
01785	成都高速		主板	2019/01/15	2200		100.00%		2.200	0.20		8.8			-0.90%		-0.91%		2.210	2.220	2.180	2.180
02360	优品360			主板	2019/01/11	2400		30.00%		1.000	10.92		2.5			28.00%		17.00%		1.240	1.280	1.080	1.170
01851	银杏教育		主板	2019/01/18	3960		50.00%		1.440	2.62		1.7			0.00%		-6.25%		1.420	1.470	1.330	1.350
08631	申港控股		创业	2019/01/08	7000		18.00%		0.600	43.40		0.6			0.00%		-17.50%		0.590	0.670	0.490	0.495
01743	苍南仪表		主板	2019/01/04	3780		70.01%		15.800	3.32		2.6			-1.01%		0.00%		15.000	15.000	14.040	14.260
01845	维港环保		主板	2019/01/03	3000		70.01%		0.880	2.35		2.75		1.13%		2.27%		0.900	0.900	0.880	0.900
01759	中油洁能		主板	2018/12/28	3400		30.05%		2.800	7.40		1.5			1.07%		1.43%		2.810	2.880	2.810	2.840
01796	耀高控股		主板	2018/12/31	2500		50.00%		1.050	12.99		1.5			-18.10%		-6.67%		0.890	1.060	0.870	0.980
01713	四川能投		主板	2018/12/28	4680		100.00%		1.770	0.49		4.72		0.00%		0.00%		1.830	1.830	1.760	1.770
03978	卓越教育		主板	2018/12/27	2900		100.00%		2.400	1.80		3.6			0.00%		0.00%		2.400	2.420	2.370	2.400
01877	君实生物-B		主板	2018/12/24	20380		100.00%		19.380	4.79		30			19.20%		22.55%		23.500	24.700	23.200	23.750
01762	万咖壹联		主板	2018/12/21	4620		60.00%		3.560	3.26		2.7			6.46%		-15.73%		3.610	3.700	2.990	3.000
01820	济丰包装		主板	2018/12/21	4760		40.02%		3.980	4.03		2.99		1.76%		0.00%		3.510	4.040	3.490	3.980
02892	万城控股		主板	2018/12/20	2660		100.00%		1.200	0.83		2.3			4.17%		5.00%		1.270	1.280	1.250	1.260
01675	亚信科技		主板	2018/12/19	5400		100.00%		10.500	0.23		8.99		-1.14%		-4.57%		10.500	10.500	9.860	10.020
01983	泸州银行		主板	2018/12/17	3400		100.00%		3.180	0.30		17			0.31%		2.20%		3.180	3.270	3.160	3.250
01995	永升生活服务	主板	2018/12/17	4160		100.00%		1.780	1.21		6.4			-1.69%		0.00%		1.750	1.800	1.650	1.780
02359	药明康德		主板	2018/12/13	7150		100.00%		68.000	1.92		78			-6.18%		0.00%		67.000	68.700	64.950	68.000
01992	复星旅游文化	主板	2018/12/14	4000		100.00%		15.600	0.30		33			0.00%		-3.97%		15.600	15.600	14.240	14.980
08622	华康生物医学	创业	2018/12/13	5120		15.00%		0.500	131.52		0.5			2.00%		-6.00%		0.495	0.540	0.450	0.470
01860	汇量科技		主板	2018/12/12	5100		100.00%		4.000	1.83		12.5		-7.00%		-0.25%		4.000	4.020	3.850	3.990
08621	METROPOLIS CAP	创业	2018/12/12	4000		38.00%		0.390	37.07		0.78		66.67%		41.03%		0.700	1.160	0.450	0.550
01837	五谷磨房		主板	2018/12/12	4200		100.00%		1.620	1.44		6.82		-4.94%		-12.35%		1.620	1.620	1.410	1.420
03992	创毅控股		主板	2018/12/11	2200		30.00%		1.000	59.44		1.25		-19.00%		-16.00%		0.770	0.910	0.770	0.840
02798	久泰邦达		主板	2018/12/12	4800		30.00%		0.680	8.51		2.45		-5.88%		0.00%		0.620	0.710	0.620	0.680
01119	创梦天地		主板	2018/12/06	3120		35.00%		6.600	12.00		8			4.24%		-8.64%		6.600	6.760	5.900	6.030
02168	佳兆业物业		主板	2018/12/06	2720		70.00%		9.380	20.44		3.2			-2.24%		-1.49%		9.100	9.420	8.820	9.240
03668	兖煤澳大利亚	主板	2018/12/06	2584		100.00%		23.480	0.19		13.96		-3.11%		-0.55%		22.000	23.400	22.000	23.350
01761	宝宝树集团		主板	2018/11/27	4400		100.00%		6.800	1.18		17			5.59%		1.03%		6.910	7.150	6.510	6.870
01790	达力环保		主板	2018/11/29	2995		40.01%		0.580	6.32		1.4			1.72%		-1.72%		0.610	0.640	0.550	0.570
00780	同程艺龙		主板	2018/11/26	5060		100.00%		9.800	2.72		14			15.71%		26.53%		10.780	12.500	9.990	12.400
