代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
03321	伟鸿集团		主板	2019/04/23	1.4-1.8		4500		16.01%		1.400		22-29		-			奥邦建筑		7.93		1.75		36.43%		-0.71%		1.400	1.460	1.050	1.390	红日资本
02718	东正金融		主板	2019/04/03	3.06		3060		100.00%		3.060		12			1353.00%	易鑫集团		0.11		16.3		-1.30%		-9.48%		2.650	2.870	2.490	2.770	中金/瑞信
06185	康诺希生物-B	主板	2019/03/28	21-22		4400		100.00%		22.000		-			19.00%		君实生物-B		90.83		12.6		33.64%		57.73%		30.500	35.800	30.250	34.700	大摩/中信里昂
06819	中智全球		主板	2019/03/27	5.32-7.19	3595		100.00%		5.350		39-53		256.00%		盈健医疗		0.59		4.3			-4.67%		-2.62%		5.350	5.360	5.190	5.210	中信里昂
01797	新东方在线		主板	2019/03/28	9.3-11.1	5550		100.00%		10.200		88-105		150.00%		科培教育		9.18		16			2.35%		0.00%		10.200	10.560	9.530	10.200	花旗/大摩/中金
08537	DOMINATE GP		创业板	2019/03/27	0.3-0.34	3400		14.00%		0.300		50-56		-			周大福			103.74		0.56		61.67%		35.00%		0.480	0.510	0.355	0.405	南华金融
01865	管道工程		主板	2019/03/27	0.55-0.65	2600		50.00%		0.550		19.6-23		-			广骏集团		25.97		1.265		5.45%		20.00%		0.580	0.670	0.520	0.660	富强金融
02682	润利海事		主板	2019/03/18	0.5-0.6		2400		100.00%		0.500		15.4-18.5	-			海丰国际		0.78		1.25		-26.00%		-44.00%		0.385	0.385	0.280	0.280	大有融资
03316	滨江服务		主板	2019/03/15	5.4-7		3500		100.00%		6.960		21-27		150.00%		新城悦			7.14		4.65		-1.01%		5.17%		6.960	7.660	6.960	7.320	中信里昂
03662	奥园健康		主板	2019/03/18	3.48-4.3	4300		100.00%		3.660		29.7-36.75	150.00%		新城悦			6.24		6.4			13.38%		21.58%		4.180	4.540	4.070	4.450	国泰君安/中泰国际
01563	友联租赁		主板	2019/03/15	0.84-1.67	5010		100.00%		0.850		29-58		-			百应租赁		1.13		4.17		5.88%		-2.35%		0.760	0.880	0.760	0.830	信达国际
01907	中国旭阳		主板	2019/03/15	2.76-3.18	3180		100.00%		2.800		12.3-14		150.00%		金马能源		1.19		16.8		0.36%		0.00%		2.800	2.820	2.700	2.800	国泰君安
01917	豆盟科技		主板	2019/03/14	0.4-0.5		5000		20.00%		0.410		22-28		-			微盟集团		441.70		0.8			34.15%		53.66%		0.590	0.790	0.580	0.630	中信建投
01891	兴合控股		主板	2019/03/15	0.5-0.62	2480		50.00%		0.500		11-14		-			齐合天地		206.56		1.25		-7.00%		-26.00%		0.440	0.440	0.365	0.370	申万宏源
08096	赏之味			创业板	2019/03/15	0.4-0.7		3500		50.00%		0.700		15-27		-			尝高美			146.20		0.875		-5.71%		-32.14%		0.610	0.650	0.475	0.475	富比资本
01158	开元酒店		主板	2019/03/11	13.37-20.05	4010		100.00%		16.500		7-10.5		-			丽悦酒店		1.45		11			-0.12%		2.30%		15.000	16.980	15.000	16.880	银河国际/交银国际
01902	银城国际控股	主板	2019/03/06	2-2.48		4960		100.00%		2.380		5.8-7		366.00%		建业地产		0.41		7.4			-0.84%		0.00%		2.360	2.420	2.340	2.380	工银国际
02108	K2 F&B			主板	2019/03/06	0.65-0.75	3000		45.00%		0.750		16-18		-			尝高美			16.40		1.5			6.67%		-10.67%		0.800	0.900	0.660	0.670	香江金融
01025	嘉艺控股		主板	2019/02/28	0.98-1.26	5040		48.56%		0.980		21-27		-			卡宾服饰		19.30		1.27		-1.02%		8.16%		0.990	1.120	0.940	1.060	创升
02019	德信中国		主板	2019/02/26	2.32-3.25	3250		100.00%		2.800		7-10		472.00%		龙光地产		0.32		14			-1.79%		0.00%		2.800	2.820	2.800	2.800	建银国际
02616	基石药业-B		主板	2019/02/26	11.1-12.8	6400		100.00%		12.000		-			150.00%		君实生物-B		7.20		22			8.33%		7.17%		13.320	14.500	12.620	12.860	高盛/大摩
01872	冠轈控股		主板	2019/02/28	0.43-0.47	2350		50.01%		0.430		9-10		-			广汇宝信		72.47		0.96		18.60%		46.51%		0.490	0.670	0.490	0.630	天泰金融
08607	纳尼亚集团		创业板	2019/02/26	0.4-0.8		4000		15.00%		0.400		20-40		-			中国福纺		10.30		0.8			18.75%		10.00%		0.480	0.520	0.425	0.440	信达国际
01703	首沣控股		主板	2019/02/15	0.5-0.75	3750		50.15%		0.500		9.4-14		-			尝高美			17.68		1.5			4.00%		22.00%		0.560	0.690	0.540	0.610	申万宏源
01793	伟工控股		主板	2019/02/27	0.625-0.75	3000		15.01%		0.625		12-14.5		-			耀高控股		16.23		1.25		-7.20%		4.00%		0.620	0.670	0.600	0.650	鼎珮
08036	电子交易集团	创业板	2019/02/19	0.28-0.44	4400		30.00%		0.280		28-44		-			捷利交易宝		120.99		0.64		32.00%		0.00%		0.350	0.360	0.265	0.280	RHB
01896	猫眼娱乐		主板	2019/02/04	14.8-20.4	4080		100.00%		14.800		-			150.00%		阿里影业		2.32		19.5		1.62%		-1.08%		14.820	14.940	14.000	14.640	大摩/美银
01890	中国科培		主板	2019/01/25	2.08-2.7	5400		100.00%		2.480		16-20		2.60%		新高教集团		1.64		8.7			0.40%		1.21%		2.480	2.560	2.480	2.510	花旗/建银国际
02013	微盟集团		主板	2019/01/15	2.8-3.5		3500		100.00%		2.800		1867-2333	189.00%		汇量科技		0.79		8.4			14.29%		4.64%		3.100	3.420	2.830	2.930	德银/海通国际
06162	天瑞汽车内饰	主板	2019/01/15	0.25-0.31	2480		25.00%		0.250		12.5-15.5	-			英恒科技		7.15		1.25		2.00%		-0.80%		0.250	0.265	0.225	0.248	创升
01767	TS WONDERS		主板	2019/01/14	0.5-0.55	5500		15.00%		0.500		14.7-16.2	-			亲亲食品		16.88		1.25		22.00%		26.00%		0.630	0.670	0.560	0.630	域高融资
02885	彼岸控股		主板	2019/01/11	1.25-1.55	3100		50.05%		1.250		14-17		-			槟杰科达		6.13		1.25		1.60%		-25.60%		1.110	1.200	0.900	0.930	国泰君安
01785	成都高速		主板	2019/01/15	2.2			2200		100.00%		2.200		9.2			744.00%		齐鲁高速		0.20		8.8			-0.90%		-0.91%		2.210	2.220	2.180	2.180	中信里昂
02360	优品360			主板	2019/01/11	1-1.2		2400		30.00%		1.000		18.5-22		-			天喔国际		10.92		2.5			28.00%		17.00%		1.240	1.280	1.080	1.170	力高企业
01851	银杏教育		主板	2019/01/18	1.24-1.98	3960		50.00%		1.440		13-21		-			中教控股		2.62		1.7			0.00%		-6.25%		1.420	1.470	1.330	1.350	中信建投
08631	申港控股		创业板	2019/01/08	0.5-0.7		7000		18.00%		0.600		14-19		-			域高国际		43.40		0.6			0.00%		-17.50%		0.590	0.670	0.490	0.495	新华汇富
01743	苍南仪表		主板	2019/01/04	13.5-18.9	3780		70.01%		15.800		3.4-4.8		102.00%		中集安瑞科		3.32		2.6			-1.01%		0.00%		15.000	15.000	14.040	14.260	农银国际
01845	维港环保		主板	2019/01/03	0.88-1		3000		70.01%		0.880		33-38		-			绿色动力环保	2.35		2.75		1.13%		2.27%		0.900	0.900	0.880	0.900	中银国际
01759	中油洁能		主板	2018/12/28	2.8-3.4		3400		30.05%		2.800		6.5-8		-			域高国际		7.40		1.5			1.07%		1.43%		2.810	2.880	2.810	2.840	创升
01796	耀高控股		主板	2018/12/31	1.05-1.25	2500		50.00%		1.050		13-15.6		-			DCB控股			12.99		1.26		-18.10%		-6.67%		0.890	1.060	0.870	0.980	均富融资
01713	四川能投		主板	2018/12/28	1.76-2.34	4680		100.00%		1.770		13-18		-			华能电力		0.49		4.72		0.00%		0.00%		1.830	1.830	1.760	1.770	交银国际
03978	卓越教育		主板	2018/12/27	2.2-2.9		2900		100.00%		2.400		22-29		100.00%		天立教育		1.80		3.6			0.00%		0.00%		2.400	2.420	2.370	2.400	招银国际
01877	君实生物-B		主板	2018/12/24	19.38-20.38	20380		100.00%		19.380		-			-			百济神州-B		4.79		30			19.20%		22.55%		23.500	24.700	23.200	23.750	中金
01762	万咖壹联		主板	2018/12/21	3.56-4.62	4620		60.00%		3.560		-			-			汇量科技		3.26		2.7			6.46%		-15.73%		3.610	3.700	2.990	3.000	中金/工银国际/麦格理
01820	济丰包装		主板	2018/12/21	3.98-4.76	4760		40.02%		3.980		12-14.6		-			太阳纸业		4.03		2.99		1.76%		0.00%		3.510	4.040	3.490	3.980	浦银国际
02892	万城控股		主板	2018/12/20	1.07-1.33	2660		100.00%		1.200		18-22		-			建业地产		0.83		2.3			4.17%		5.00%		1.270	1.280	1.250	1.260	光大证券
01675	亚信科技		主板	2018/12/19	10.5-13.5	5400		100.00%		10.500		20.7-26		643.00%		擎天软件		0.23		8.99		-1.14%		-4.57%		10.500	10.500	9.860	10.020	中信里昂/花旗
01983	泸州银行		主板	2018/12/17	3.15-3.4	3400		100.00%		3.180		9.8-10.65	494.00%		重庆银行		0.30		17			0.31%		2.20%		3.180	3.270	3.160	3.250	中信里昂
01995	永升生活服务	主板	2018/12/17	1.6-2.08	4160		100.00%		1.780		28-36		150.00%		新城悦			1.21		6.4			-1.69%		0.00%		1.750	1.800	1.650	1.780	海通国际
02359	药明康德		主板	2018/12/13	64.1-71.5	7150		100.00%		68.000		51-57		150.00%		复星医药		1.92		78			-6.18%		0.00%		67.000	68.700	64.950	68.000	大摩/华泰国际/高盛
01992	复星旅游文化	主板	2018/12/14	15.6-20		4000		100.00%		15.600		-			496.00%		东瀛游			0.30		33			0.00%		-3.97%		15.600	15.600	14.240	14.980	摩根大通/中信里昂/花旗
08622	华康生物医学	创业板	2018/12/13	0.44-0.64	5120		15.00%		0.500		-			-			迪安诊断		131.52		0.5			2.00%		-6.00%		0.495	0.540	0.450	0.470	RHB
01860	汇量科技		主板	2018/12/12	3.9-5.1		5100		100.00%		4.000		21.4-28		150.00%		飞鱼科技		1.83		12.5		-7.00%		-0.25%		4.000	4.020	3.850	3.990	瑞银/招银国际
08621	METROPOLIS CAP	创业板	2018/12/12	0.39-0.5	4000		38.00%		0.390		55-71		-			易鑫集团		37.07		0.78		66.67%		41.03%		0.700	1.160	0.450	0.550	八方金融
01837	五谷磨房		主板	2018/12/12	1.62-2.1	4200		100.00%		1.620		17-22		150.00%		达利食品		1.44		6.82		-4.94%		-12.35%		1.620	1.620	1.410	1.420	中金/民银资本
03992	创毅控股		主板	2018/12/11	1-1.1		2200		30.00%		1.000		13.7-15		-			雅居投资		59.44		1.25		-19.00%		-16.00%		0.770	0.910	0.770	0.840	第一上海
02798	久泰邦达		主板	2018/12/12	0.6-0.96	4800		30.00%		0.680		10.34-16.5	-			兖州煤业		8.51		2.45		-5.88%		0.00%		0.620	0.710	0.620	0.680	新华汇富
01119	创梦天地		主板	2018/12/06	6-7.8		3120		35.00%		6.600		44-57		150.00%		指尖悦动		12.00		8			4.24%		-8.64%		6.600	6.760	5.900	6.030	瑞信/招商证券/中金
02168	佳兆业物业		主板	2018/12/06	9.08-10.88	2720		70.00%		9.380		15.76-18.88	50.00%		新城悦			20.44		3.2			-2.24%		-1.49%		9.100	9.420	8.820	9.240	中信里昂/农银国际
03668	兖煤澳大利亚	主板	2018/12/06	23.48-25.84	2584		100.00%		23.480		22-24.4		770.00%		中煤能源		0.19		13.96		-3.11%		-0.55%		22.000	23.400	22.000	23.350	大摩/招银国际/中银国际
01761	宝宝树集团		主板	2018/11/27	6.8-8.8		4400		100.00%		6.800		75-97		150.00%		聚美优品		1.18		17			5.59%		1.03%		6.910	7.150	6.510	6.870	大摩/海通国际/招商证券
01790	达力环保		主板	2018/11/29	0.58		2995		40.01%		0.580		9			-			中滔环保		6.32		1.4			1.72%		-1.72%		0.610	0.640	0.550	0.570	红日资本
00780	同程艺龙		主板	2018/11/26	9.75-12.65	5060		100.00%		9.800		92-119		150.00%		加达控股		2.72		14			15.71%		26.53%		10.780	12.500	9.990	12.400	大摩/摩根大通/招银国际
06890	康利国际		主板	2018/11/19	1-1.3		2600		60.07%		1.020		8-10.5		50.00%		全达电器		23.00		1.51		-0.98%		4.90%		1.040	1.080	0.970	1.070	广发证券
01835	瑞威资管		主板	2018/11/13	5-7			2800		100.00%		5.000		10.7-14.9	-			华兴资本		5.59		1.9			2.00%		4.20%		5.200	5.500	5.030	5.210	同人融资
02258	华滋国际海洋	主板	2018/11/19	1.2-1.56	3120		100.00%		1.220		10-13		-			天源集团		1.67		2.5			4.92%		9.02%		1.500	1.500	1.230	1.330	东方证券
03616	恒达集团		主板	2018/11/12	1.02-1.4	2800		100.00%		1.240		7.3-10		-			建业地产		1.86		3.6			-10.48%		-8.87%		0.990	1.140	0.910	1.130	光大证券
01755	新城悦			主板	2018/11/06	2.9-3.9		3900		100.00%		2.900		28-37.6		280.00%		雅生活服务		0.36		5.8			2.41%		3.79%		3.060	3.100	2.900	3.010	华泰国际
08259	HON CORP		创业板	2018/11/07	0.5-0.6		2400		40.01%		0.500		8.13-9.8	-			富汇建筑		22.53		0.6			32.00%		40.00%		0.680	0.900	0.680	0.700	富强金融
01712	龙资源			主板	2018/11/05	2.03		2030		100.00%		2.030		-			-			招金矿业		1.58		1.01		8.37%		3.95%		2.150	2.210	2.050	2.110	浩德融资
01801	信达生物-B		主板	2018/10/31	12.5-14		7000		100.00%		13.980		-			150.00%		百济神州-B		1.11		32			0.86%		18.60%		14.300	16.960	14.000	16.580	大摩/摩根大通/高盛/招商证券
01034	富汇建筑		主板	2018/10/30	0.32-0.34	2720		26.00%		0.320		11.2-11.9	-			奥邦建筑		12.40		1.28		1.56%		43.75%		0.350	0.500	0.350	0.460	富比资本
08611	MINDTELL TECH	创业板	2018/10/22	0.68-0.88	4400		14.51%		0.620		8.5-11		-			世纪睿科		8.15		0.7			40.32%		16.13%		0.960	0.960	0.710	0.720	建泉融资
01825	美臻集团		主板	2018/10/19	0.4-0.44	4400		30.00%		0.400		16-17.6		-			晶苑国际		18.43		0.91		0.00%		-3.75%		0.415	0.490	0.375	0.385	Amcap
08516	广骏集团		创业板	2018/10/15	0.4-0.55	2750		22.50%		0.400		28-39		-			奥邦建筑		14.00		0.48		32.50%		87.50%		0.500	0.760	0.470	0.750	脉搏资本
01653	MOS HOUSE		主板	2018/10/19	0.19-0.25	5000		13.00%		0.190		22-28		-			集一家居		16.61		0.95		65.79%		84.21%		0.300	0.360	0.255	0.350	Amcap
01741	成志控股		主板	2018/10/16	0.625-0.675	2700		40.00%		0.625		20.8-22.5	-			金仑控股		5.00		1.25		-0.80%		0.80%		0.610	0.700	0.560	0.630	富比资本
08603	亮晴控股		创业板	2018/10/15	0.28-0.44	4400		20.01%		0.280		14-22		-			Sisram Medical	13.39		0.56		37.50%		46.43%		0.390	0.510	0.390	0.410	创升
01894	恒益控股		主板	2018/10/12	0.8-0.9		4500		25.02%		0.850		11.7-13.3	-			震升工程		12.48		1.6			-15.29%		3.53%		0.750	0.900	0.750	0.880	富强金融
08042	高奥士国际		创业板	2018/10/12	0.3-0.4		4000		60.00%		0.300		15-20		-			有才天下		16.23		0.6			-27.33%		-28.33%		0.207	0.230	0.204	0.215	长雄证券
03990	美的置业		主板	2018/10/11	17-21.5		4300		100.00%		17.000		9-11.7		591.00%		弘阳地产		0.25		30			-2.35%		-6.59%		16.600	16.600	15.720	15.880	法巴/中信里昂
06111	大发地产		主板	2018/10/11	3.28-4.98	4980		100.00%		4.200		16.8-25		465.00%		龙光地产		0.32		7.4			-0.71%		0.00%		4.200	4.260	4.200	4.200	建银国际
08613	东方支付		创业板	2018/10/16	0.22-0.3	3000		20.00%		0.220		-			-			汇付天下		21.67		0.5			38.64%		10.00%		0.330	0.370	0.230	0.242	Amcap
01772	赣锋锂业		主板	2018/10/11	16.5-26.5	5300		100.00%		16.500		9-14.6		110.00%		天齐锂业		0.58		33			-2.67%		-28.73%		15.300	15.300	11.060	11.760	花旗
01939	东京中央拍卖	主板	2018/10/11	1.5-1.71	3420		30.02%		1.500		17-19.5		150.00%		保利文化		6.69		1.44		0.00%		4.00%		1.500	1.700	1.490	1.560	民银资本
01809	浦林成山		主板	2018/10/09	5.89-7.5	3750		100.00%		5.890		18.7-23.8	92.00%		三角轮胎		0.32		7.95		0.00%		-25.64%		5.800	5.800	4.080	4.380	中银国际
01781	新昌创展		主板	2018/10/04	1-1.2		2400		25.00%		1.100		19-23		-			国际家居		10.25		1.4			7.00%		15.45%		1.200	1.360	0.980	1.270	智富
01540	澳狮环球		主板	2018/10/08	1-1.1		3300		25.00%		1.000		89-98		-			环球印馆		10.60		1.05		-2.00%		-16.00%		0.970	1.050	0.840	0.840	创越融资
08017	捷利交易宝		创业板	2018/09/28	0.64-0.8	3200		30.01%		0.640		52-65		-			财华社			25.86		0.8			3.12%		-27.34%		0.520	0.560	0.460	0.465	安信国际
01787	山东黄金		主板	2018/09/28	14.7-18.38	4595		100.00%		14.700		25.8-32		1212.00%	招金矿业		0.12		48			0.41%		0.00%		14.700	14.720	14.680	14.700	建银国际/中信建投/工银国际
01911	华兴资本		主板	2018/09/27	31.8-34.8	3480		100.00%		31.800		38-42		183.00%		中金公司		0.82		27			0.63%		-22.33%		31.800	31.800	24.150	24.700	高盛/工银国际
06862	海底捞			主板	2018/09/26	14.8-17.8	17800		60.01%		17.800		66-80		166.00%		呷哺呷哺		5.56		75			8.20%		0.11%		18.800	19.640	17.800	17.820	招银国际/高盛
01748	信源企业		主板	2018/09/26	1.29-1.76	3520		21.37%		1.500		12-16.6		-			海丰国际		4.76		1.5			20.00%		0.67%		1.700	1.760	1.130	1.510	兴证国际
01723	港亚控股		主板	2018/09/27	1-1.3		2600		45.05%		1.000		20.8-27		-			迪信通			6.47		1			68.00%		112.00%		2.500	2.570	1.710	2.120	创侨国际
03690	美团点评-W		主板	2018/09/20	60-72		7200		100.00%		69.000		-			300.00%		阿里巴巴		1.50		325			3.62%		5.29%		72.900	74.000	72.000	72.650	高盛/大摩/美银
08619	WAC Holdings	创业板	2018/09/17	0.2-0.28	2800		20.01%		0.200		90-127		-			宝燵控股		13.56		0.57		67.50%		245.00%		0.355	0.850	0.335	0.690	Amcap
02552	华领医药-B		主板	2018/09/14	8.28-9.28	4640		100.00%		8.280		-			301.00%		百济神州-B		0.50		8.67		-0.97%		-1.81%		8.280	8.310	7.860	8.280	高盛/中信里昂
02680	创升控股		主板	2018/09/14	1.3-1.8		3600		70.04%		1.800		20-27		-			耀才证券		99.05		1.8			-21.67%		-43.89%		1.120	1.270	0.960	0.980	创升/国金证券
01969	中国春来		主板	2018/09/13	2.08-2.98	2980		100.00%		2.080		14-20		13.85%		中教控股		1.88		6.24		-5.29%		-16.35%		2.050	2.050	1.670	1.740	中信里昂
08601	宝燵控股		创业板	2018/09/13	0.3-0.4		4000		19.16%		0.400		14.3-19		-			安保工程		13.10		0.8			0.00%		-7.50%		0.410	0.430	0.330	0.370	新华汇富
01615	奥邦建筑		主板	2018/09/10	0.52-0.78	3900		48.53%		0.670		9-13.45		-			澳能建设		181.49		0.9			0.00%		-5.97%		0.660	0.700	0.600	0.630	西证国际
08482	万励达			创业板	2018/09/05	0.25-0.35	3500		40.00%		0.275		20.3-28.45	-			健升物流		15.15		0.7			-1.82%		-9.45%		0.270	0.305	0.227	0.249	华邦融资
08609	永续农业		创业板	2018/09/07	0.4-0.5		5000		30.01%		0.500		26.7-33.3	-			欣融国际		22.10		0.625		-7.00%		-21.00%		0.450	0.470	0.385	0.395	中州国际
08210	衍汇亚洲		创业板	2018/08/27	0.25-0.3	3000		50.00%		0.255		42-50		-			胜利证券		23.96		0.55		-2.74%		0.00%		0.246	0.340	0.240	0.255	红日资本
01783	金仑控股		主板	2018/08/22	0.45-0.55	5500		15.00%		0.550		15.5-19		-			泓盈控股		723.49		1.1			-10.91%		-10.91%		0.485	0.520	0.475	0.490	德健融资
01725	恒达科技		主板	2018/08/16	1.7-2		10000		10.00%		1.750		15.6-18		-			建滔积层板		419.73		1.28		-10.29%		-17.14%		1.410	1.640	1.350	1.450	德健融资
08475	千盛集团		创业板	2018/08/13	0.5-0.8		4000		40.00%		0.720		21.6-34.5	-			尝高美			87.03		0.72		2.78%		-29.29%		0.700	0.710	0.485	0.495	力高企业
06160	百济神州-B		主板	2018/08/08	94.4-111.6	11160		100.00%		108.000		-			166.00%		歌礼制药-B		1.73		70			-2.22%		-0.93%		108.000	108.200	103.000	107.000	大摩/高盛
00788	中国铁塔		主板	2018/08/08	1.26-1.58	3160		100.00%		1.260		96-121		300.00%		美国铁塔		1.36		543			-0.79%		0.00%		1.260	1.290	1.260	1.260	中金/高盛
01765	希望教育		主板	2018/08/03	1.52-1.92	3840		100.00%		1.920		42-53		50.00%		中教控股		17.37		32			-5.73%		-2.60%		1.920	1.950	1.810	1.870	花旗/招商证券
01672	歌礼制药-B		主板	2018/08/01	12-16		16000		40.00%		14.000		-			150.00%		金斯瑞			9.13		32			1.29%		0.00%		14.800	14.900	13.660	14.000	大摩/高盛/招商证券
01758	博骏教育		主板	2018/07/31	1.99-2.36	4720		80.00%		2.360		38-45		30.00%		天立教育		237.71		4.72		19.50%		21.61%		2.750	3.030	2.650	2.870	中信建投
02048	易居中国		主板	2018/07/20	14.38-17.68	5304		100.00%		14.380		50-62		204.00%		贤能集团		0.73		46			-3.34%		-1.39%		14.380	15.240	13.820	14.180	中金/瑞信
01739	齐屹科技		主板	2018/07/12	4.85-9		4500		100.00%		4.850		-			1083.00%	礼建德			0.14		11.73		0.00%		-6.39%		4.850	4.900	4.510	4.540	高盛/中信里昂
03302	光控精技		主板	2018/07/18	1.02-1.26	2520		84.98%		1.170		13.5-16.6	150.00%		富智康			4.70		2.5			5.13%		5.13%		1.310	1.310	1.160	1.230	光大证券/国元融资
08525	百应租赁		创业板	2018/07/18	1.2-1.42	2840		100.00%		1.280		13.2-15.6	-			富道集团		6.28		0.87		45.13%		7.81%		1.970	2.130	1.290	1.380	长江证券
08540	胜利证券		创业板	2018/07/16	1.06-1.44	2880		50.04%		1.250		12-16		-			耀才证券		7.47		0.6			8.00%		4.00%		1.350	1.390	1.300	1.300	脉搏资本
08606	倢冠控股		创业板	2018/07/16	0.23-0.3	3000		40.01%		0.300		30-40		-			高萌科技		10.89		0.6			60.00%		133.33%		0.480	0.720	0.480	0.700	信达国际
01775	精英汇			主板	2018/07/13	0.9-1.1		4400		40.01%		1.080		13-16		-			21世纪教育		288.65		1.3			23.00%		22.22%		1.320	1.450	1.270	1.320	鼎珮
00797	第七大道		主板	2018/07/18	1.5-2.22	4440		100.00%		1.500		13-19		165.00%		昆仑万维		0.91		9.99		2.00%		-2.00%		1.510	1.530	1.450	1.470	广发证券/建银国际
01576	齐鲁高速		主板	2018/07/19	2.5-3.1		3100		100.00%		2.500		8.4-10.4	-			宁沪高速		0.14		12.5		1.20%		-8.00%		2.400	2.490	2.240	2.300	中泰国际/中信建投
08512	凯富善			创业板	2018/07/19	0.28-0.36	3600		80.09%		0.295		-			-			万成集团		3.57		0.79		52.54%		86.44%		0.465	0.580	0.375	0.550	天财资本
08547	Pacific Legend	创业板	2018/07/18	0.3-0.4		4000		50.00%		0.300		78-104		-			齐家控股		3.45		0.75		100.00%		0.00%		0.630	0.640	0.250	0.300	实德新源
01731	其利工业		主板	2018/07/13	0.89-1.25	5000		60.00%		0.890		6.1-8.6		-			时代集团		4.27		2.49		2.24%		25.84%		0.910	1.130	0.860	1.120	华高和昇
02051	51信用卡		主板	2018/07/13	8.5-11.5	5750		100.00%		8.500		11.4-15		171.00%		维信金科		0.88		10			4.71%		7.06%		8.760	9.350	8.510	9.100	花旗/招商证券
01715	米技国际		主板	2018/07/16	0.3-0.36	3600		55.01%		0.300		18-21.6		-			九阳股份		19.59		1.13		1.67%		5.00%		0.275	0.365	0.275	0.315	德健融资
01721	FSM HOLDINGS	主板	2018/07/16	0.52-0.6	3000		25.01%		0.530		14.85-17.1	-			善乐国际		9.77		1.3			18.86%		15.09%		0.630	0.680	0.550	0.610	耀盛资本
01760	英恒科技		主板	2018/07/12	2.9-3.33	3330		100.00%		2.900		20-23		150.00%		瑞丰动力		7.65		7.25		5.51%		0.00%		3.040	3.080	2.880	2.900	法巴
01996	弘阳地产		主板	2018/07/12	2.18-3.18	3180		100.00%		2.280		4.8-7		830.00%		正荣地产		0.18		18			8.33%		12.29%		2.500	2.570	2.330	2.560	建银国际/华泰国际/农银国际
01968	兴纺控股		主板	2018/07/16	1.1-1.4		5600		20.01%		1.120		5.6-7.1		-			威诚国际		14.50		1.8			53.57%		156.25%		1.850	3.050	1.850	2.870	申万宏源
01773	天立教育		主板	2018/07/12	2.26-2.66	2660		100.00%		2.660		27.7-32.6	150.00%		成实外教育		9.38		13.3		13.53%		19.92%		2.960	3.280	2.740	3.190	中金
03700	映客			主板	2018/07/12	3.85-5		5000		100.00%		3.850		8.2-10.6	150.00%		虎牙			2.67		11.64		4.16%		10.65%		4.320	5.480	4.050	4.260	中金/花旗/德银
08140	人和科技		创业板	2018/07/12	0.3-0.4		4000		22.05%		0.300		255-340		-			华津国际		12.60		0.6			65.00%		63.33%		0.460	0.570	0.410	0.490	新华汇富
08219	恒伟集团		创业板	2018/07/12	0.23-0.27	2700		30.01%		0.250		58-68		-			时计宝			14.66		0.6			32.00%		98.00%		0.330	0.570	0.280	0.495	天财资本
01652	福森药业		主板	2018/07/11	2-3			3000		70.00%		2.080		13.8-20.7	-			神威药业		3.58		4			15.87%		22.12%		2.330	2.690	2.260	2.540	中信建投
01746	万顺集团		主板	2018/07/11	0.5-0.6		2400		70.00%		0.520		21-25.6		-			顺兴集团		46.39		1.27		-1.92%		-30.77%		0.465	0.475	0.350	0.360	中国银河
08502	远航港口		创业板	2018/07/10	0.38-0.42	3360		100.00%		0.380		253-280		-			大连港			1.02		0.76		1.32%		9.21%		0.400	0.435	0.380	0.415	同人融资
06860	指尖悦动		主板	2018/07/12	2.07-3.27	3270		100.00%		2.070		14.3-22.6	-			IGG				0.76		10.35		0.48%		5.31%		2.080	2.290	2.040	2.180	中信建投
06190	九江银行		主板	2018/07/10	10.48-10.96	2192		100.00%		10.600		11.6-12.18	545.00%		重庆银行		0.28		37			0.38%		0.00%		10.420	10.620	10.200	10.600	农银国际/中信建投
01810	小米集团-W		主板	2018/07/09	17-22		4400		100.00%		17.000		65-85		300.00%		苹果			9.50		370			-5.29%		-1.18%		16.600	17.000	16.000	16.800	高盛/大摩/中信里昂
08223	紫元元			创业板	2018/07/09	0.6-1		4000		30.00%		0.760		20.7-34.5	-			富道集团		14.62		0.76		88.00%		106.58%		1.390	1.750	1.350	1.570	国元融资
01763	中国同辐		主板	2018/07/06	17.8-24.2	4840		80.01%		21.600		17.3-23.5	50.00%		绿叶制药		35.24		16.09		-8.00%		-6.94%		20.000	21.200	19.480	20.100	中金
02262	梁志天设计		主板	2018/07/05	0.71-1.05	3150		60.00%		0.880		11.8-16		30.00%		良斯集团		139.39		2.1			20.45%		30.68%		1.010	1.160	0.910	1.150	东兴证券
01592	基石控股		主板	2018/07/04	0.4-0.5		2500		85.00%		0.400		19-23.8		-			双运控股		18.46		1.2			-8.75%		-30.00%		0.350	0.360	0.280	0.280	华高和昇
08305	棠记控股		创业板	2018/07/04	0.25-0.3	3000		60.00%		0.300		57-68		-			双运控股		23.72		0.6			8.33%		-18.67%		0.320	0.335	0.240	0.244	红日资本
06100	有才天下		主板	2018/06/29	28.5-35.5	7100		100.00%		33.000		678-845		150.00%		前程无忧		2.18		28			-8.49%		-1.52%		31.600	33.800	29.950	32.500	大摩/摩根大通
