代码	名称			板块	上市日		询价区间	一手资金	一手中签率	发行价		发行市盈率	绿鞋/公开	可比公司		超购倍数	募资总额	暗盘涨幅	首日涨幅	开盘	最高	最低	收盘	承销商
03347	泰格医药		主板	2020/08/07	88-100		10000		5.00%		100.000		81-92		70.00%		药明康德		414.00		107			19.30%		13.30%		119.000	119.000	110.100	113.300	美银/海通国际/中信证券/中金
01449	立德教育		主板	2020/08/06	2.1-2.6		2600		20.00%		2.100		18-22.6		50.00%		新高教集团		27.94		3.49		0.48%		-11.90%		1.980	1.990	1.700	1.850	华泰国际
09668	渤海银行		主板	2020/07/16	4.75-4.98	2490		100.00%		4.800		9-9.6		510.00%		青岛银行		0.59		136			-0.21%		0.00%		4.800	4.820	4.710	4.800	建银国际/海通国际/农银国际/中信证券
09908	嘉兴燃气		主板	2020/07/16	9-12		6000		18.00%		10.000		12-16		150.00%		新奥燃气		6.73		3.5			32.00%		10.40%		14.900	14.920	10.700	11.040	交银国际/络绎资本
01981	华夏视听教育	主板	2020/07/15	2.86-3.1	3100		50.00%		3.100		21-23		50.00%		新石文化		34.64		12.4		33.23%		58.71%		4.230	5.230	4.150	4.920	麦格理/招商证券
09977	凤祥股份		主板	2020/07/16	3.33-5.1	5100		85.00%		3.330		31-48		18.00%		新希望			2.10		11.8		6.01%		0.90%		3.540	3.590	3.330	3.360	西证国际
01156	CHINANEWENERGY	主板	2020/07/15	0.98-1.28	5120		8.51%		0.980		8.3-10.8	-			三和精化		9.44		0.81		0.00%		0.00%		1.200	1.380	0.650	0.700	东兴证券
09990	祖龙娱乐		主板	2020/07/15	9.8-11.6	11600		20.00%		11.600		59-70		30.00%		游莱互动		123.00		21			48.28%		75.00%		17.000	20.300	16.880	20.300	中金
00368	德合集团		主板	2020/07/17	0.63-0.69	2760		10.00%		0.630		15-16.4		-			奥邦建筑		10.73		1.26		33.33%		11.11%		0.700	0.900	0.650	0.700	力高企业
06933	新娱科控股		主板	2020/07/15	1.63-1.87	3740		25.00%		1.630		11.6-13.4	-			游莱互动		5.59		1.63		6.13%		4.30%		1.750	1.800	1.630	1.700	华高和昇
09986	大山教育		主板	2020/07/15	1.25-1.75	3500		50.00%		1.250		19-26		126.00%		嘉宏教育		4.09		2.5			-4.00%		-10.40%		1.180	1.210	1.030	1.120	同人融资
08659	易和国际控股	创业板	2020/07/13	0.4-0.6		3000		13.00%		0.400		10.5-16		-			隽思集团		11.00		0.6			57.50%		90.00%		0.660	0.890	0.650	0.760	中毅资本
06968	港龙中国地产	主板	2020/07/15	3.6-4.1		4100		100.00%		3.930		8-9			540.00%		建业地产		0.28		15			-4.07%		-0.25%		3.930	3.940	3.730	3.920	华高和昇
01163	虎视传媒		主板	2020/07/10	0.84-1		2500		45.00%		0.860		20-24		-			微盟集团		6.18		1.27		30.23%		24.42%		1.050	1.310	1.000	1.070	光银国际
01477	欧康维视生物-B	主板	2020/07/10	13.16-14.66	7330		5.00%		14.660		-			30.00%		沛嘉医疗-B		1895.00		15.5		199.45%		152.39%		43.000	43.000	36.050	37.000	大摩/高盛
06958	正荣服务		主板	2020/07/10	3.6-4.7		4700		40.00%		4.550		31-41		-			保利物业		102.00		11			11.65%		23.08%		4.860	5.740	4.800	5.600	建银国际
06969	思摩尔国际		主板	2020/07/10	9.6-12.4	12400		20.00%		12.400		20-26		40.00%		其利工业		116.00		71			91.53%		150.00%		28.000	31.000	25.050	31.000	中信证券
06978	永泰生物-B		主板	2020/07/10	10.5-11		11000		20.00%		11.000		-			30.00%		开拓药业-B		259.00		11			21.82%		40.73%		13.400	16.860	13.320	15.480	建银国际/国信香港
09979	绿城管理控股	主板	2020/07/10	2.2-3		3000		40.00%		2.500		10.3-14		100.00%		宝业集团		11.00		11			8.00%		30.00%		2.650	3.430	2.600	3.250	瑞信/德银
08623	中国蜀塔		创业板	2020/07/10	0.25-0.4	4000		60.00%		0.300		6-9.8		-			常达控股		29.00		0.6			-10.00%		-27.67%		0.220	0.255	0.183	0.217	同人融资
09906	宏力医疗管理	主板	2020/07/13	1.8-2.3		4600		10.00%		2.100		16-20		29.00%		华润医疗		14.99		3			15.24%		15.24%		2.600	2.600	2.250	2.420	交银国际
